S.NO.,PROGRAM GROUP,TRANSFORMATION,ACTIVITY ID,ACTIVITY DESCRIPTION,START DATE,END DATE,UNIT,PLANNED QTY,YEAR,MONTH
15,BLD-2248-D-EW|B|2,EARTH WORK,1597,Filling avail excavated earth 20cm layer,30-01-2020,09-07-2020,M3,8059,2020,8
16,BLD-2248-D-EW|B|3,EARTH WORK,1598,Sup & Fill river sand/compaction-min 90%,03-10-2020,16-11-2020,M3,1137,2020,8
17,BLD-2248-D-EW|B|4,EARTH WORK,1599,Carriage & disposal of surplus earth,03-10-2020,16-11-2020,M3,9000,2020,8
18,BLD-2248-D-ATT|B|5|A,ANTI TERMITE TREATMENT,1600,ATT in Fdn wall & vert surf @7.5Lit/M2,30-01-2020,07-09-2020,M2 ,2273,2020,8
19,BLD-2248-D-ATT|B|5|B,ANTI TERMITE TREATMENT,1601,ATT in top surf within plinth @5Lit/M2,30-01-2020,07-09-2020,M2 ,4245,2020,8
20,BLD-2248-D-ATT|B|5|C,ANTI TERMITE TREATMENT,1602,ATT to outside of Fdn@ 1.75L/M & 0.5L/M,30-01-2020,07-09-2020,M,1490,2020,8
21,BLD-2248-D-CO|C|1|A,CONCRETE WORK,1603,Concrete (1:3:6) upto plinth,14-03-2020,10-07-2020,M3,735,2020,8
22,BLD-2248-D-CO|C|2|A,CONCRETE WORK,1604,"Conc.(1:2:4)-Fdn,Plinth,Sup Str incl F/W",12-11-2020,01-12-2020,M3,1680,2020,8
23,BLD-2248-D-CO|C|3|I,CONCRETE WORK,1605,Conc.(1:4:8)with fly/burn brick incl F/W,12-11-2020,01-12-2020,M3,685,2020,8
24,BLD-2248-D-CO|C|4,CONCRETE WORK,1606,Precast (1:2:4) incl F/W & Reinf,12-11-2020,01-12-2020,M2 ,50,2020,8
25,BLD-2248-D-CO|C|5,CONCRETE WORK,1607,P&L DPC (1:2:4)-40 mm thick,12-11-2020,01-12-2020,M2 ,190,2020,8
26,BLD-2248-D-CO|C|6,CONCRETE WORK,1608,E/R-Mix WP material in Concrete work,12-11-2020,01-12-2020,102,2864,2020,8
27,BLD-2248-D-CO|C|7,CONCRETE WORK,1609,Apply Petrlm Bitumen (VG-10) @1.7kg/M2,12-11-2020,01-12-2020,M2 ,190,2020,8
28,BLD-2248-D-CO|C|8,CONCRETE WORK,1610,Plinth Protection (1:3:6)- 50mm Thick,12-11-2020,01-12-2020,M2 ,385,2020,8
29,BLD-2248-D-RCC|D|1|A,REINFORCEMNT CONCRETE WORK,1611,RCC (M:45)- Upto Plinth,20-07-2020,20-08-2020,M3,14210,2020,8
30,BLD-2248-D-RCC|D|1|B,REINFORCEMNT CONCRETE WORK,1612,RCC (M:45)-Plinth to Floor V,15-07-2020,08-11-2020,M3,8419,2020,8
31,BLD-2248-D-RCC|D|1|C,REINFORCEMNT CONCRETE WORK,1613,RCC (M:45)-Floor V to IX,08-11-2020,03-01-2021,M3,5865,2020,8
32,BLD-2248-D-RCC|D|1|D,REINFORCEMNT CONCRETE WORK,1614,RCC (M:45)-Floor IX to XIII,03-01-2021,27-02-2021,M3,5627,2020,8
33,BLD-2248-D-RCC|D|1|E,REINFORCEMNT CONCRETE WORK,1615,RCC (M:45)-Floor XIII to XVII,27-02-2021,19-04-2021,M3,5587,2020,8
34,BLD-2248-D-RCC|D|1|F,REINFORCEMNT CONCRETE WORK,1616,RCC (M:45)-Floor XVII to XXI,19-04-2021,13-06-2021,M3,4359,2020,8
35,BLD-2248-D-RCC|D|1|G,REINFORCEMNT CONCRETE WORK,1617,RCC (M:45)-above Floor XXI,13-06-2021,24-07-2021,M3,2954,2020,8
36,BLD-2248-D-RCC|D|2|A,REINFORCEMNT CONCRETE WORK,1618,RCC (M:35)- Upto Plinth,12-12-2019,17-03-2022,M3,233,2020,8
37,BLD-2248-D-RCC|D|2|B,REINFORCEMNT CONCRETE WORK,1619,RCC (M:35)-Plinth to Floor V,12-12-2019,17-03-2022,M3,400,2020,8
38,BLD-2248-D-RCC|D|3|A,REINFORCEMNT CONCRETE WORK,1620,RCC (M:30)- Upto Plinth,12-12-2019,17-03-2022,M3,80,2020,8
39,BLD-2248-D-RCC|D|4|A,REINFORCEMNT CONCRETE WORK,1621,RCC (M:25)- Upto Plinth,12-12-2019,17-03-2022,M3,740,2020,8
40,BLD-2248-D-SFW|D|5|A,FORM WORK ,1622,Sys F/W-Upto Plinth,12-12-2019,17-03-2022,M2 ,5423,2020,8
41,BLD-2248-D-SFW|D|5|B,FORM WORK ,1623,Sys F/W-Upto Plinth (Vertical),12-12-2019,17-03-2022,M2 ,59480,2020,8
42,BLD-2248-D-SFW|D|5|E,FORM WORK ,1624,Sys F/W-Above plinth (Horizon),12-12-2019,17-03-2022,M2 ,97400,2020,8
43,BLD-2248-D-DPC|D|6,POLYTHENE SHEET ,1625,S&L Polythene Sheet (150gm/Sqm) over DPC,12-12-2019,17-03-2022,M2 ,4400,2020,8
44,BLD-2248-D-RE|D|7|A,REINFORCEMENT STEEL WORK,1626,Reinforcement work (Fe 500D),12-12-2019,17-03-2022,MT,7588,2020,8
45,BLD-2248-D-DR|D|8,DOOR WORK,1627,"Install Strong room door incl lift,Erec",12-12-2019,17-03-2022,JOB,2,2020,8
46,BLD-2248-D-RE|D|9,REINFORCEMENT STEEL WORK,1628,"H,C,Lift & Placing MS Tang Bar b/w Reinf",12-12-2019,17-03-2022,M,4200,2020,8
47,BLD-2248-D-PT|D|10,POST TENTIONING WORK,1629,Design & Exec. of Post Tensioning  works,12-12-2019,17-03-2022,M2 ,51500,2020,8
48,BLD-2248-D-WP|E|1|A,WATER PROOFING TREATMENT,1630,P&L WP membrane (APP 5 layer)- 3mm thk,12-12-2019,17-03-2022,M2 ,6011,2020,8
49,BLD-2248-D-WP|E|2|C,WATER PROOFING TREATMENT,1631,P&A spray applied WP membrane-2mm Thk,12-12-2019,17-03-2022,M2 ,4600,2020,8
50,BLD-2248-D-WP|E|3,WATER PROOFING TREATMENT,1632,E/R-Cover top membrane with Geotextile,12-12-2019,17-03-2022,M2 ,4483,2020,8
51,BLD-2248-D-WP|E|4,WATER PROOFING TREATMENT,1633,S&L Screed Conc. (M:15)- 50mm Thk,12-12-2019,17-03-2022,M2 ,100,2020,8
52,BLD-2248-D-WP|E|5I_IV,WATER PROOFING TREATMENT,1634,P&L Garden Drain Board & Geotextile,12-12-2019,17-03-2022,M2 ,180,2020,8
53,BLD-2248-D-WP|E|6,WATER PROOFING TREATMENT,1635,"P&L WP treatment-sunken part of WC,Bath",12-12-2019,17-03-2022,M2 ,2900,2020,8
54,BLD-2248-D-WP|E|7,WATER PROOFING TREATMENT,1636,P&M integral crystalline admix. for WP,12-12-2019,17-03-2022,KG,6000,2020,8
55,BLD-2248-D-WP|E|8,WATER PROOFING TREATMENT,1637,P&A fibre reinf elastomeric liquid WP,12-12-2019,17-03-2022,M2 ,100,2020,8
56,BLD-2248-D-WP|E|9,WATER PROOFING TREATMENT,1638,WP Treatment by inject grout material,12-12-2019,17-03-2022,M2 ,1350,2020,8
57,BLD-2248-D-WP|E|10|A,WATER PROOFING TREATMENT,1639,Roof WP Treatment with Conc.(1:2:4),12-12-2019,17-03-2022,M3,460,2020,8
58,BLD-2248-D-WP|E|11,WATER PROOFING TREATMENT,1640,P&F Heat Resistant Terrace Tile(300x300),12-12-2019,17-03-2022,M2 ,2800,2020,8
59,BLD-2248-D-B|W|F|1|A,BRICK WORK,1641,B/W (Morter- 1:6) in Fdn & Plinth,12-12-2019,17-03-2022,M3,270,2020,8
60,BLD-2248-D-B|W|F|2|A,BRICK WORK,1642,B/W (Morter- 1:6) Plinth to Floor V,12-12-2019,17-03-2022,M3,1500,2020,8
61,BLD-2248-D-B|W|F|2|B,BRICK WORK,1643,B/W (Morter- 1:6) above Floor V to IX,12-12-2019,17-03-2022,M3,842,2020,8
62,BLD-2248-D-B|W|F|2|C,BRICK WORK,1644,B/W (Morter- 1:6) above Floor IX to XIII,12-12-2019,17-03-2022,M3,1427,2020,8
63,BLD-2248-D-B|W|F|2|D,BRICK WORK,1645,B/W (Morter- 1:6) abv Floor XIII to XVII,12-12-2019,17-03-2022,M3,1475,2020,8
64,BLD-2248-D-B|W|F|2|E,BRICK WORK,1646,B/W (Morter- 1:6) abv Floor XVII to XXI,12-12-2019,17-03-2022,M3,1034,2020,8
65,BLD-2248-D-B|W|F|2|F,BRICK WORK,1647,B/W (Morter- 1:6) above Floor XXI,12-12-2019,17-03-2022,M3,578,2020,8
66,BLD-2248-D-H|B|W|F|3|A,BRICK WORK,1648,Half B/W (1:4) Plinth to Floor V,12-12-2019,17-03-2022,M2 ,600,2020,8
67,BLD-2248-D-H|B|W|F|3|B,BRICK WORK,1649,Half B/W (1:4) above Floor V to IX,12-12-2019,17-03-2022,M2 ,482,2020,8
68,BLD-2248-D-H|B|W|F|3|C,BRICK WORK,1650,Half B/W (1:4) above Floor IX to XIII,12-12-2019,17-03-2022,M2 ,1174,2020,8
69,BLD-2248-D-H|B|W|F|3|D,BRICK WORK,1651,Half B/W (1:4) abv Floor XIII to XVII,12-12-2019,17-03-2022,M2 ,1306.5,2020,8
70,BLD-2248-D-H|B|W|F|3|E,BRICK WORK,1652,Half B/W (1:4) abv Floor XVII to XXI,12-12-2019,17-03-2022,M2 ,752,2020,8
71,BLD-2248-D-H|B|W|F|3|F,BRICK WORK,1653,Half B/W (1:4) above Floor XXI,12-12-2019,17-03-2022,M2 ,408,2020,8
72,BLD-2248-D-B|W|F|4|A,BRICK WORK,1654,P&L AAC Block  Plinth to Floor V,12-12-2019,17-03-2022,M3,10,2020,8
73,BLD-2248-D-B|W|F|4|B,BRICK WORK,1655,P&L AAC Block  above Floor V to IX,12-12-2019,17-03-2022,M3,45,2020,8
74,BLD-2248-D-B|W|F|4|C,BRICK WORK,1656,P&L AAC Block  above Floor IX to XIII,12-12-2019,17-03-2022,M3,200,2020,8
75,BLD-2248-D-B|W|F|4|D,BRICK WORK,1657,P&L AAC Block  above Floor XIII to XVII,12-12-2019,17-03-2022,M3,220,2020,8
76,BLD-2248-D-B|W|F|4|E,BRICK WORK,1658,P&L AAC Block  above Floor XVII to XXI,12-12-2019,17-03-2022,M3,90,2020,8
77,BLD-2248-D-B|W|F|4|F,BRICK WORK,1659,P&L AAC Block  above Floor XXI,12-12-2019,17-03-2022,M3,10,2020,8
78,BLD-2248-D-B|W|F|5|A,BRICK WORK,1660,String course with 15mm Plaster (1:4),12-12-2019,17-03-2022,M,476,2020,8
79,BLD-2248-D-B|W|F|6,BRICK WORK,1661,Single Brick soling of jhama bricks,12-12-2019,17-03-2022,M2 ,4464,2020,8
80,BLD-2248-D-FL|G|1|A,FLOORING WORK,1662,Conc. Floor (1:2:4)- 40mm Thk,12-12-2019,17-03-2022,M2 ,50,2020,8
81,BLD-2248-D-FL|G|2,FLOORING WORK,1663,Conc. Floor with Hardener (1:2:4)-52mm,12-12-2019,17-03-2022,M2 ,23423.40039,2020,8
82,BLD-2248-D-FL|G|3|A,FLOORING WORK,1664,Cement Plaster Skirting (1:3)-18 mm Thk,12-12-2019,17-03-2022,M2 ,2490,2020,8
83,BLD-2248-D-FL|G|4|A,FLOORING WORK,1665,Kota flooring (1:4) in slab- 25 mm Thk,12-12-2019,17-03-2022,M2 ,110,2020,8
84,BLD-2248-D-FL|G|5,FLOORING WORK,1666,"Kota Skirt,Dado,Stair (1:3)- 20 mm Thk",12-12-2019,17-03-2022,M2 ,59,2020,8
85,BLD-2248-D-FL|G|6,FLOORING WORK,1667,E/R for Nosing in Kota stone tread,12-12-2019,17-03-2022,M,268,2020,8
86,BLD-2248-D-FL|G|7,FLOORING WORK,1668,P&L Pol Granite flooring (1:4)-20 mm Thk,12-12-2019,17-03-2022,M2 ,2741.780029,2020,8
87,BLD-2248-D-FL|G|8|A,FLOORING WORK,1669,Edge moulding in Granite work,12-12-2019,17-03-2022,M,3340,2020,8
88,BLD-2248-D-FL|G|9,FLOORING WORK,1670,E/R-Serrated granite/kota floor (1:4),12-12-2019,17-03-2022,M2 ,1765,2020,8
89,BLD-2248-D-FL|G|10,FLOORING WORK,1671,P&L Granite flooring (1:4)-18 mm Thk,12-12-2019,17-03-2022,M2 ,170,2020,8
90,BLD-2248-D-FL|G|11,FLOORING WORK,1672,P&L Anti skid exter grade Vitrified Tile,12-12-2019,17-03-2022,M2 ,1860,2020,8
91,BLD-2248-D-FL|G|12,FLOORING WORK,1673,P&L Tactile tile 300x300x9.8mm (1:4),12-12-2019,17-03-2022,M2 ,60,2020,8
92,BLD-2248-D-FL|G|13I_IV,FLOORING WORK,1674,P&L Polyurethene car deck Floor Top Coat,12-12-2019,17-03-2022,M2 ,18600,2020,8
93,BLD-2248-D-PL|H|1|B,PLASTERING WORK,1675,15 mm Int. Plaster (1:6) above plinth,12-12-2019,17-03-2022,M2 ,91518.63281,2020,8
94,BLD-2248-D-PL|H|2|A,PLASTERING WORK,1676,20 mm Ext. Plaster (1:4) upto plinth,12-12-2019,17-03-2022,M2 ,1750,2020,8
95,BLD-2248-D-PL|H|2|B,PLASTERING WORK,1677,20 mm Ext. Plaster (1:4) in Supr Str.,12-12-2019,17-03-2022,M2 ,1250,2020,8
96,BLD-2248-D-PL|H|3,PLASTERING WORK,1678,10 mm Ceiling Plaster (1:3) in Supr Str.,12-12-2019,17-03-2022,M2 ,28512,2020,8
97,BLD-2248-D-PL|H|4|A,PLASTERING WORK,1679,15 mm Ext Plaster (1:4) upto plinth,12-12-2019,17-03-2022,M2 ,442,2020,8
98,BLD-2248-D-PL|H|4|B,PLASTERING WORK,1680,15 mm Ext Plaster (1:4) plinth-Floor V,12-12-2019,17-03-2022,M2 ,4141,2020,8
99,BLD-2248-D-PL|H|4|C,PLASTERING WORK,1681,15 mm Ext Plaster (1:4) Floor V-IX,12-12-2019,17-03-2022,M2 ,1792,2020,8
100,BLD-2248-D-PL|H|4|D,PLASTERING WORK,1682,15 mm Ext Plaster (1:4) Floor IX-XIII,12-12-2019,17-03-2022,M2 ,2347.800049,2020,8
101,BLD-2248-D-PL|H|4|E,PLASTERING WORK,1683,15 mm Ext Plaster (1:4) Floor XIII-XVII,12-12-2019,17-03-2022,M2 ,2277,2020,8
102,BLD-2248-D-PL|H|4|F,PLASTERING WORK,1684,15 mm Ext Plaster (1:4) Floor XVII-XXI,12-12-2019,17-03-2022,M2 ,2708,2020,8
103,BLD-2248-D-PL|H|4|G,PLASTERING WORK,1685,15 mm Ext Plaster (1:4) above floor XXI,12-12-2019,17-03-2022,M2 ,2303,2020,8
104,BLD-2248-D-PL|H|5,PLASTERING WORK,1686,E/R- P&M WP material in plaster,12-12-2019,17-03-2022,102,2275,2020,8
105,BLD-2248-D-PL|H|6,PLASTERING WORK,1687,E/R-Synthetic Polyester fibre in plaster,12-12-2019,17-03-2022,102,2275,2020,8
106,BLD-2248-D-PL|H|7,PLASTERING WORK,1688,"Cement Punning 1.5mm-Wall,Dado,Floor",12-12-2019,17-03-2022,M2 ,3676,2020,8
107,BLD-2248-D-PL|H|8,PLASTERING WORK,1689,S&A 3 coat food grade (Sika Guard 67),12-12-2019,17-03-2022,M2 ,1250,2020,8
108,BLD-2248-D-FD|I|1,FIRE RESISTANT DOOR WORK,1690,P&F Fire Resistant door frame (H & V),12-12-2019,17-03-2022,M,1130,2020,8
109,BLD-2248-D-FD|I|2,FIRE RESISTANT DOOR WORK,1691,P&F Glazed fire resistant door Shutter,12-12-2019,17-03-2022,M2 ,545,2020,8
110,BLD-2248-D-FD|I|3,FIRE RESISTANT DOOR WORK,1692,P&F Glazing in Fire resist door shutter,12-12-2019,17-03-2022,M2 ,325,2020,8
111,BLD-2248-D-STEEL|J|1,STRUCTURAL STEEL WORK,1693,"Sup,Fab & Erec of Structural Steel",12-12-2019,17-03-2022,KG,75880,2020,8
112,BLD-2248-D-STEEL|J|2,STRUCTURAL STEEL WORK,1694,P&F Pressed Steel Door frame,12-12-2019,17-03-2022,M2 ,2715,2020,8
113,BLD-2248-D-STEEL|J|3,STRUCTURAL STEEL WORK,1695,P&F Safety foot rest (6mm)Plastic coated,12-12-2019,17-03-2022,EA,150,2020,8
114,BLD-2248-D-STEEL|J|4|A,STRUCTURAL STEEL WORK,1696,S&F Rolling shutter,12-12-2019,17-03-2022,M2 ,110,2020,8
115,BLD-2248-D-STEEL|J|5,STRUCTURAL STEEL WORK,1697,E/R- Provide Grilled Rolling Shutter,12-12-2019,17-03-2022,M2 ,20,2020,8
116,BLD-2248-D-STEEL|J|6,STRUCTURAL STEEL WORK,1698,E/R-Provide mech. device(10-16.8 M2),12-12-2019,17-03-2022,M2 ,100,2020,8
117,BLD-2248-D-STEEL|J|7,STRUCTURAL STEEL WORK,1699,P&F SS Railing,12-12-2019,17-03-2022,KG,13500,2020,8
118,BLD-2248-D-STEEL|J|8,STRUCTURAL STEEL WORK,1700,P&F Precoated galvanised iron sheets,12-12-2019,17-03-2022,M2 ,285,2020,8
119,BLD-2248-D-STEEL|J|9,STRUCTURAL STEEL WORK,1701,S&F polycarbonate panel (UV Protected),12-12-2019,17-03-2022,M2 ,300,2020,8
120,BLD-2248-D-PA|K|1|A,PRIMER WORK,1702,P&A primer with pink/grey on wood work,12-12-2019,17-03-2022,M2 ,50,2020,8
121,BLD-2248-D-PA|K|1|B,PRIMER WORK,1703,P&A primer with red oxide on steel/Iron,12-12-2019,17-03-2022,M2 ,350,2020,8
122,BLD-2248-D-PA|K|1|C,PRIMER WORK,1704,P&A cement thinnable primer on wall,12-12-2019,17-03-2022,M2 ,50,2020,8
123,BLD-2248-D-PA|K|2|A,PRIMER WORK,1705,P&A synthetic enamel paint (2 Coats),12-12-2019,17-03-2022,M2 ,350,2020,8
124,BLD-2248-D-PA|K|3|A,PRIMER WORK,1706,P&A Premium Acrylic exterior paint,12-12-2019,17-03-2022,M2 ,15945,2020,8
125,BLD-2248-D-PA|K|4|A,PRIMER WORK,1707,P&A water proofing cement paint,12-12-2019,17-03-2022,M2 ,31120,2020,8
126,BLD-2248-D-MISC|L|1,MISCELLANEOUS WORK,1708,Dismantling B/W with Plaster for Opening,12-12-2019,17-03-2022,M3,10,2020,8
127,BLD-2248-D-MISC|L|2,MISCELLANEOUS WORK,1709,"Dismant RCC/PCC incl stack,cut,cln Reinf",12-12-2019,17-03-2022,M3,5,2020,8
128,BLD-2248-D-MISC|L|3|I,MISCELLANEOUS WORK,1710,Chase cutting & Making in RCC surface,12-12-2019,17-03-2022,M2 ,25,2020,8
129,BLD-2248-D-MISC|L|3|II,MISCELLANEOUS WORK,1711,Chase cutting & Making in Brick surface,12-12-2019,17-03-2022,M2 ,50,2020,8
130,BLD-2248-D-MISC|L|4,MISCELLANEOUS WORK,1712,Repairing Patch in Plaster with Mort 1:4,12-12-2019,17-03-2022,M2 ,50,2020,8
131,BLD-2248-D-MISC|L|5,MISCELLANEOUS WORK,1713,Make Opening for Exhaust in B/W Mort 1:4,12-12-2019,17-03-2022,EA,180,2020,8
132,BLD-2248-D-MISC|L|6|I,MISCELLANEOUS WORK,1714,"S&F Chem anchor fastener (L200mm,D16 mm)",12-12-2019,17-03-2022,EA,250,2020,8
133,BLD-2248-D-MISC|L|6|II,MISCELLANEOUS WORK,1715,"S&F Chem anchor fastener (L260mm,D20 mm)",12-12-2019,17-03-2022,EA,250,2020,8
134,BLD-2248-D-MISC|L|6|III,MISCELLANEOUS WORK,1716,"S&F Chem anchor fastener (L300mm,D24 mm)",12-12-2019,17-03-2022,EA,300,2020,8
135,BLD-2248-D-MISC|L|7|I,MISCELLANEOUS WORK,1717,"S&F Mech Exp anch. fast (L115mm,D12 mm)",12-12-2019,17-03-2022,EA,100,2020,8
136,BLD-2248-D-MISC|L|7|II,MISCELLANEOUS WORK,1718,"S&F Mech Exp anch. fast (L145mm,D16 mm)",12-12-2019,17-03-2022,EA,100,2020,8
137,BLD-2248-D-MISC|L|7|III,MISCELLANEOUS WORK,1719,"S&F Mech Exp anch. fast (L170mm,D20 mm)",12-12-2019,17-03-2022,EA,120,2020,8
138,BLD-2248-D-MISC|L|8|I,MISCELLANEOUS WORK,1720,"P&F Rebar- Dia 8mm, Embed Length-160mm",12-12-2019,17-03-2022,EA,10,2020,8
139,BLD-2248-D-MISC|L|8|II,MISCELLANEOUS WORK,1721,"P&F Rebar- Dia 10mm, Embed Length-200mm",12-12-2019,17-03-2022,EA,15,2020,8
140,BLD-2248-D-MISC|L|8|III,MISCELLANEOUS WORK,1722,"P&F Rebar- Dia 12mm, Embed Length-240mm",12-12-2019,17-03-2022,EA,50,2020,8
141,BLD-2248-D-MISC|L|8|IV,MISCELLANEOUS WORK,1723,"P&F Rebar- Dia 16mm, Embed Length-320mm",12-12-2019,17-03-2022,EA,50,2020,8
142,BLD-2248-D-MISC|L|8|V,MISCELLANEOUS WORK,1724,"P&F Rebar- Dia 20mm, Embed Length-400mm",12-12-2019,17-03-2022,EA,50,2020,8
143,BLD-2248-D-MISC|L|8|VI,MISCELLANEOUS WORK,1725,"P&F Rebar- Dia 25mm, Embed Length-500mm",12-12-2019,17-03-2022,EA,50,2020,8
144,BLD-2248-D-MISC|L|9,MISCELLANEOUS WORK,1726,P&F Anchor Fastener for door fix,12-12-2019,17-03-2022,EA,100,2020,8
145,BLD-2248-D-MISC|L|10,MISCELLANEOUS WORK,1727,P&F Expansion joint (75x25mm),12-12-2019,17-03-2022,M,950,2020,8
146,BLD-2248-D-MISC|L|11,MISCELLANEOUS WORK,1728,P&F Alum Plain/Chaq plate cover-Exp. Jnt,12-12-2019,17-03-2022,M,950,2020,8
147,BLD-2248-D-MISC|L|12|A,MISCELLANEOUS WORK,1729,S&I Fire Barriers Composite Sheet,12-12-2019,17-03-2022,M2 ,10,2020,8
148,BLD-2248-D-MISC|L|12|B,MISCELLANEOUS WORK,1730,S&I Fire Barriers Composite Sheet,12-12-2019,17-03-2022,M2 ,10,2020,8
149,BLD-2248-D-MISC|L|12|C,MISCELLANEOUS WORK,1731,S&I Fire stop mortar system,12-12-2019,17-03-2022,M2 ,50,2020,8
150,BLD-2248-D-ED|1|I,EXTERNAL DEVELOPMENT WORK,1732,Mech Excavation upto 1.5M,12-12-2019,17-03-2022,M3,3265,2020,8
151,BLD-2248-D-ED|1|II,EXTERNAL DEVELOPMENT WORK,1733,Mech Excavation upto 1.5M-3.0M,12-12-2019,17-03-2022,M3,1539,2020,8
152,BLD-2248-D-ED|1|III,EXTERNAL DEVELOPMENT WORK,1734,Mech Excavation upto 3.0M-4.5M,12-12-2019,17-03-2022,M3,1065,2020,8
153,BLD-2248-D-ED|1|IV,EXTERNAL DEVELOPMENT WORK,1735,Mech Excavation upto 4.5M & above,12-12-2019,17-03-2022,M3,650,2020,8
154,BLD-2248-D-ED|2,EXTERNAL DEVELOPMENT WORK,1736,Filling avail excavated earth 20cm layer,12-12-2019,17-03-2022,M3,1500,2020,8
155,BLD-2248-D-ED|3,EXTERNAL DEVELOPMENT WORK,1737,Sup & Fill river sand/compaction-min 90%,12-12-2019,17-03-2022,M3,1236,2020,8
156,BLD-2248-D-ED|4,EXTERNAL DEVELOPMENT WORK,1738,P&I Hard sal bullah drivng pile D-150mm,12-12-2019,17-03-2022,M,7000,2020,8
157,BLD-2248-D-ED|5|A,EXTERNAL DEVELOPMENT WORK,1739,B/W (Morter- 1:6) in Fdn & Plinth,12-12-2019,17-03-2022,M3,27,2020,8
158,BLD-2248-D-ED|6|A,EXTERNAL DEVELOPMENT WORK,1740,B/W (Morter- 1:6) Plinth to Floor V,12-12-2019,17-03-2022,M3,101,2020,8
159,BLD-2248-D-ED|7|A,EXTERNAL DEVELOPMENT WORK,1741,Half B/W (1:4) Plinth to Floor V,12-12-2019,17-03-2022,M2 ,50,2020,8
160,BLD-2248-D-ED|8,EXTERNAL DEVELOPMENT WORK,1742,Single Brick soling of jhama bricks,12-12-2019,17-03-2022,M2 ,1000,2020,8
161,BLD-2248-D-ED|9|B,EXTERNAL DEVELOPMENT WORK,1743,15 mm Int. Plaster (1:6) above plinth,12-12-2019,17-03-2022,M2 ,1100,2020,8
162,BLD-2248-D-ED|10|A,EXTERNAL DEVELOPMENT WORK,1744,20 mm Ext. Plaster (1:4) upto plinth,12-12-2019,17-03-2022,M2 ,782,2020,8
163,BLD-2248-D-ED|11,EXTERNAL DEVELOPMENT WORK,1745,10 mm Ceiling Plaster (1:3) in Supr Str.,12-12-2019,17-03-2022,M2 ,50,2020,8
164,BLD-2248-D-ED|12|A,EXTERNAL DEVELOPMENT WORK,1746,15 mm Ext Plaster (1:4) upto plinth,12-12-2019,17-03-2022,M2 ,520,2020,8
165,BLD-2248-D-ED|12|B,EXTERNAL DEVELOPMENT WORK,1747,15 mm Ext Plaster (1:4) plinth-Floor V,12-12-2019,17-03-2022,M2 ,900,2020,8
166,BLD-2248-D-ED|,EXTERNAL DEVELOPMENT WORK,1748,"Cement Punning 1.5mm-Wall,Dado,Floor",12-12-2019,17-03-2022,M2 ,1465,2020,8
167,BLD-2248-D-ED|14|A,EXTERNAL DEVELOPMENT WORK,1749,Concrete (1:3:6) upto plinth,12-12-2019,17-03-2022,M3,172,2020,8
168,BLD-2248-D-ED|15|A,EXTERNAL DEVELOPMENT WORK,1750,RCC (M:30)- Upto Plinth,12-12-2019,17-03-2022,M3,1500,2020,8
169,BLD-2248-D-ED|15|B,EXTERNAL DEVELOPMENT WORK,1751,RCC (M:30)-Plinth to Floor V,12-12-2019,17-03-2022,M3,30,2020,8
